test_name,test_type,capability,LLaDA-8B_mean,LLaDA-8B_median,LLaDA-8B_npairs,LLaDA-8B_dperp,LLaDA-MoE_mean,LLaDA-MoE_median,LLaDA-MoE_npairs,LLaDA-MoE_dperp,Dream-7B_mean,Dream-7B_median,Dream-7B_npairs,Dream-7B_dperp,Llama-3.1-8B_mean,Llama-3.1-8B_median,Llama-3.1-8B_npairs,Llama-3.1-8B_dperp,Mistral-7B_mean,Mistral-7B_median,Mistral-7B_npairs,Mistral-7B_dperp,Qwen2.5-7B_mean,Qwen2.5-7B_median,Qwen2.5-7B_npairs,Qwen2.5-7B_dperp,Gemma-2-9B_mean,Gemma-2-9B_median,Gemma-2-9B_npairs,Gemma-2-9B_dperp,OLMo-2-7B_mean,OLMo-2-7B_median,OLMo-2-7B_npairs,OLMo-2-7B_dperp
"(q, paraphrase(q))",DIR,Robustness,0.0187,0.0000,15434,0.0009,0.0051,0.0000,15434,0.0003,0.0034,0.0000,15434,0.0001,12.0385,10.2058,15434,0.6032,13.9002,11.7887,15434,0.6793,6.9858,0.0000,15434,0.3373,0.2465,0.0000,15434,0.0133,15.9280,14.2727,15434,0.7858
A and / or B is the same as B and / or A,MFT,Logic,0.0000,0.0000,485,0.0000,0.0000,0.0000,485,0.0000,0.0000,0.0000,485,0.0000,0.0000,0.0000,485,0.0000,0.0971,0.0000,485,0.0536,0.0000,0.0000,485,0.0000,0.0000,0.0000,485,0.0000,0.9802,1.4268,485,0.5485
A or B is not the same as A and B,MFT,Logic,0.0000,0.0000,485,0.0000,0.0000,0.0000,485,0.0000,0.0000,0.0000,485,0.0000,0.0038,0.0000,485,0.0021,0.4082,0.0000,485,0.2268,0.0000,0.0000,485,0.0000,0.0000,0.0000,485,0.0000,0.0000,0.0000,485,0.0000
A or B is not the same as C and D,MFT,Logic,0.0000,0.0000,414,0.0000,0.0143,0.0000,414,0.0072,0.0554,0.0000,414,0.0305,0.0000,0.0000,414,0.0000,0.0220,0.0000,414,0.0132,0.0000,0.0000,414,0.0000,0.0943,0.0000,414,0.0580,0.0000,0.0000,414,0.0000
Change first and last name in one of the questions,DIR,NER,1.8099,0.0000,12373,0.4575,1.9703,1.8009,12373,0.5135,1.9930,2.0600,12373,0.5275,0.5499,0.0000,12373,0.1389,0.7107,0.0000,12373,0.1554,0.0402,0.0000,12373,0.0079,0.8463,0.0000,12373,0.2358,0.2702,0.0000,12373,0.0634
Change first name in one of the questions,DIR,NER,2.8172,0.0000,9382,0.3695,2.4078,0.0000,9382,0.3218,2.1934,0.0000,9382,0.2993,1.1314,0.0000,9382,0.1426,1.0673,0.0000,9382,0.1302,0.0769,0.0000,9382,0.0123,0.8125,0.0000,9382,0.1048,0.5360,0.0000,9382,0.0623
Change location in one of the questions,DIR,NER,2.2081,0.0000,26787,0.4932,2.6943,2.7807,26787,0.6062,2.6014,2.6758,26787,0.5883,0.4517,0.0000,26787,0.0951,0.6114,0.0000,26787,0.1307,0.0237,0.0000,26787,0.0042,1.2534,0.0000,26787,0.3044,0.2652,0.0000,26787,0.0555
Change numbers in one of the questions,DIR,NER,4.2812,0.0000,23895,0.3750,4.2905,0.0000,23895,0.3791,3.8135,0.0000,23895,0.3478,1.1825,0.0000,23895,0.0911,2.2094,0.0000,23895,0.1736,0.2196,0.0000,23895,0.0134,1.1206,0.0000,23895,0.0807,0.7438,0.0000,23895,0.0508
Change same location in both questions,INV,NER,0.2279,0.0000,4634,0.0503,0.3183,0.0000,4634,0.0727,0.1908,0.0000,4634,0.0462,0.2730,0.0000,4634,0.0654,0.3224,0.0000,4634,0.0817,0.0035,0.0000,4634,0.0009,0.2991,0.0000,4634,0.0701,0.1153,0.0000,4634,0.0282
Change same name in both questions,INV,NER,0.1416,0.0000,4923,0.0414,0.2351,0.0000,4923,0.0660,0.1237,0.0000,4923,0.0383,0.4317,0.0000,4923,0.1324,0.3364,0.0000,4923,0.0968,0.0121,0.0000,4923,0.0022,0.2850,0.0000,4923,0.0802,0.1555,0.0000,4923,0.0381
