test_name,test_type,capability,LLaDA-8B_mean,LLaDA-8B_median,LLaDA-8B_npairs,LLaDA-8B_dperp,LLaDA-MoE_mean,LLaDA-MoE_median,LLaDA-MoE_npairs,LLaDA-MoE_dperp,Dream-7B_mean,Dream-7B_median,Dream-7B_npairs,Dream-7B_dperp,Llama-3.1-8B_mean,Llama-3.1-8B_median,Llama-3.1-8B_npairs,Llama-3.1-8B_dperp,Mistral-7B_mean,Mistral-7B_median,Mistral-7B_npairs,Mistral-7B_dperp,Qwen2.5-7B_mean,Qwen2.5-7B_median,Qwen2.5-7B_npairs,Qwen2.5-7B_dperp,Gemma-2-9B_mean,Gemma-2-9B_median,Gemma-2-9B_npairs,Gemma-2-9B_dperp,OLMo-2-7B_mean,OLMo-2-7B_median,OLMo-2-7B_npairs,OLMo-2-7B_dperp
A is COMP than B. Who is antonym(COMP)? B,MFT,Taxonomy,6.7069,6.7256,677,0.5540,6.8098,6.7799,677,0.5629,6.7686,6.7699,677,0.5595,6.5131,6.4723,677,0.5398,6.8870,6.7799,677,0.5679,6.8047,6.6884,677,0.5621,6.8063,6.7825,677,0.5626,6.8063,6.7799,677,0.5626
A is COMP than B. Who is more / less COMP?,MFT,Vocabulary,9.4747,9.3796,52,0.6264,9.4748,9.3796,52,0.6264,9.4749,9.3791,52,0.6264,8.2809,9.2121,52,0.5381,9.4750,9.3791,52,0.6264,9.4745,9.3793,52,0.6264,9.4745,9.3793,52,0.6264,9.3161,9.3791,52,0.6154
A is more X than B. Who is more antonym(X)? B. Who is less X? B. Who is more X? A. Who is less antonym(X)? A.,MFT,Taxonomy,4.0599,2.5025,21656,0.3200,4.0645,2.3482,21656,0.3196,4.0930,2.8382,21656,0.3236,4.4577,4.2459,21656,0.3536,4.3932,3.4174,21656,0.3453,3.9677,0.0093,21656,0.3151,4.1559,2.5107,21656,0.3290,3.9444,0.0087,21656,0.3145
Add random sentence to context,INV,Robustness,0.6924,0.0000,905,0.0415,0.8600,0.0000,905,0.0532,0.3189,0.0000,905,0.0217,0.3019,0.0000,905,0.0237,0.6504,0.0002,905,0.0461,0.3729,0.0000,905,0.0272,0.2881,0.0000,905,0.0194,0.7296,0.0000,905,0.0471
Agent / object distinction,MFT,SRL,8.4470,8.6244,520,0.5974,7.9358,8.1107,520,0.5633,8.4563,8.5110,520,0.5985,7.5196,7.4910,520,0.5406,8.2143,8.4230,520,0.5864,7.2224,7.8312,520,0.5191,8.4451,8.5106,520,0.5991,5.7937,6.4138,520,0.4087
Agent / object distinction with 3 agents,MFT,SRL,6.9065,8.1225,9570,0.4542,6.6141,7.9717,9570,0.4343,6.6604,8.0038,9570,0.4377,5.5467,5.4932,9570,0.3624,6.8718,7.5147,9570,0.4494,6.5721,7.7530,9570,0.4306,6.6902,7.9572,9570,0.4393,6.7944,8.1079,9570,0.4465
Animal vs Vehicle,MFT,Taxonomy,10.1673,10.0657,1799,0.7165,10.5460,10.3961,1799,0.7425,9.9524,9.8816,1799,0.7020,9.9580,10.1239,1799,0.6988,9.8853,9.8519,1799,0.6965,9.9401,9.8540,1799,0.7016,9.7420,9.7814,1799,0.6862,9.2768,9.9256,1799,0.6495
Animal vs Vehicle v2,MFT,Taxonomy,9.7960,9.7158,1624,0.6216,9.7919,9.6938,1624,0.6212,9.7649,9.6924,1624,0.6194,8.8440,9.9083,1624,0.5650,7.9656,8.4357,1624,0.5067,8.6314,9.1837,1624,0.5486,10.5023,10.5511,1624,0.6682,6.6066,8.1222,1624,0.4213
"Basic coref, he / she",MFT,Coref,6.3385,5.9012,7247,0.5878,7.3069,7.0455,7247,0.6711,7.3722,7.0859,7247,0.6776,7.5929,7.2262,7247,0.7055,7.5687,7.3141,7247,0.6975,6.6083,6.2140,7247,0.6065,6.6145,6.2429,7247,0.6056,7.0051,6.7554,7247,0.6425
Change location everywhere,INV,NER,1.4804,0.0003,2373,0.0730,1.5377,0.0009,2373,0.0855,1.4143,0.0001,2373,0.0714,1.1208,0.0000,2373,0.0614,1.5904,0.0004,2373,0.0876,1.2292,0.0003,2373,0.0665,1.0942,0.0000,2373,0.0600,1.4870,0.0002,2373,0.0786
Change name everywhere,INV,NER,1.6777,0.0002,2124,0.0879,2.0330,0.0017,2124,0.1033,1.2790,0.0001,2124,0.0590,1.5828,0.0002,2124,0.0702,1.6482,0.0007,2124,0.0848,1.5227,0.0000,2124,0.0716,1.4184,0.0000,2124,0.0627,1.5375,0.0003,2124,0.0747
Former / Latter,MFT,Coref,3.7299,0.0039,290,0.2174,0.0015,0.0000,290,0.0001,0.9048,0.0000,290,0.0544,7.8475,11.2841,290,0.4635,0.0016,0.0000,290,0.0001,1.4215,0.0000,290,0.0833,3.5936,0.0013,290,0.2088,0.1192,0.0000,290,0.0076
"Intensifiers (very, super, extremely) and reducers (somewhat, kinda, etc)?",MFT,Vocabulary,10.0882,10.5879,4859,0.5873,9.5839,10.3645,4859,0.5595,9.8186,10.4328,4859,0.5716,10.8597,11.5379,4859,0.6312,14.1572,15.0602,4859,0.8228,9.3956,10.2940,4859,0.5486,12.1696,12.1507,4859,0.7087,7.5084,9.3712,4859,0.4384
Negation in question only.,MFT,Negation,4.0219,0.0051,6063,0.2720,4.0219,0.0051,6063,0.2720,4.0262,0.0050,6063,0.2722,5.9834,4.8103,6063,0.4111,4.0274,0.0053,6063,0.2724,4.0217,0.0048,6063,0.2720,4.0651,0.0050,6063,0.2751,4.0340,0.0050,6063,0.2727
Profession vs nationality,MFT,Taxonomy,4.4220,4.4260,12500,0.7211,4.3142,4.3834,12500,0.7031,4.1475,4.3360,12500,0.6758,4.1727,4.3787,12500,0.6788,4.4217,4.4189,12500,0.7208,4.0970,4.3022,12500,0.6667,4.3965,4.4124,12500,0.7165,4.2689,4.3669,12500,0.6955
Question contractions,INV,Robustness,0.0000,0.0000,3,0.0000,0.0024,0.0000,3,0.0001,10.1101,0.0000,3,0.2585,0.0000,0.0000,3,0.0000,0.0000,0.0000,3,0.0000,0.0024,0.0000,3,0.0001,0.3751,0.0000,3,0.0096,0.0024,0.0000,3,0.0001
Question typo,INV,Robustness,1.2941,0.0004,252,0.0529,1.3078,0.0000,252,0.0525,0.3494,0.0000,252,0.0189,0.3282,0.0000,252,0.0155,0.6860,0.0000,252,0.0324,0.4399,0.0000,252,0.0190,0.2220,0.0000,252,0.0097,0.4183,0.0000,252,0.0190
Synonyms,MFT,Taxonomy,4.1066,4.0566,1788,0.6187,4.1141,4.0475,1788,0.6202,4.0816,4.0441,1788,0.6149,4.9469,4.8747,1788,0.7533,4.2314,4.1201,1788,0.6396,4.1140,4.0475,1788,0.6202,4.1475,4.0721,1788,0.6260,4.0741,4.0421,1788,0.6151
Understanding before / after -> first / last.,MFT,Temporal,8.7247,10.0710,488,0.5210,7.4157,9.2950,488,0.4400,8.5272,9.8776,488,0.5057,5.3958,5.7789,488,0.3213,5.4867,5.5496,488,0.3270,6.8344,8.6407,488,0.4084,10.7885,10.8924,488,0.6428,2.0159,0.0000,488,0.1226
"size, shape, age, color",MFT,Taxonomy,4.9364,5.0245,2000,0.6396,5.1812,5.0495,2000,0.6732,5.0589,5.0268,2000,0.6575,4.3034,4.6157,2000,0.5788,4.6597,4.8449,2000,0.6179,4.9990,5.0067,2000,0.6496,4.8197,4.9163,2000,0.6319,4.8289,4.9135,2000,0.6290
